name,state,district
Jadavpur University,West Bengal,Kolkata
Netaji Subhas Open University,West Bengal,Kolkata
"Presidency University, Kolkata",West Bengal,Kolkata
Rabindra Bharati University,West Bengal,Kolkata
Sidho Kanho Birsha University,West Bengal,Purulia
University of Burdwan,West Bengal,Bardhaman
University of Calcutta,West Bengal,Kolkata
University of Gour Banga,West Bengal,Malda
University of Kalyani,West Bengal,Kalyani
University of North Bengal,West Bengal,Siliguri
Uttar Banga Krishi Vishwavidyalaya,West Bengal,Cooch Behar
Vidyasagar University,West Bengal,Medinipur
West Bengal State University,West Bengal,Barasat
West Bengal National University of Juridical Sciences,West Bengal,Kolkata
West Bengal University of Animal and Fishery Sciences,West Bengal,Kolkata
West Bengal University of Health Sciences,West Bengal,Kolkata
West Bengal University of Technology,West Bengal,Kolkata
English and Foreign Languages University,Andhra Pradesh,Hyderabad
Maulana Azad National Urdu University,Andhra Pradesh,Hyderabad
University of Hyderabad,Andhra Pradesh,Hyderabad
Rajiv Gandhi University,Arunachal Pradesh,Itanagar
Assam University,Assam,Silchar
Tezpur University,Assam,Tezpur
Central University of Bihar,Bihar,Gaya
Guru Ghasidas University,Chhattisgarh,Bilaspur
Indira Gandhi National Open University,Delhi,New Delhi
Jamia Millia Islamia,Delhi,New Delhi
Jawaharlal Nehru University,Delhi,New Delhi
University of Delhi,Delhi,New Delhi
Central University of Gujarat,Gujarat,Gandhinagar
Central University of Haryana,Haryana,Mahendragarh
Central University of Himachal Pradesh,Himachal Pradesh,Dharamsala
Central University of Jammu,Jammu and Kashmir,Jammu
Central University of Kashmir,Jammu and Kashmir,Srinagar
Central University of Jharkhand,Jharkhand,Ranchi
Central University of Karnataka,Karnataka,Gulbarga
Central University of Kerala,Kerala,Kasaragod
Dr. Hari Singh Gour University,Madhya Pradesh,Sagar
Indira Gandhi National Tribal University,Madhya Pradesh,Amarkantak
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Maharashtra,Wardha
Central Agricultural University,Manipur,Imphal
Manipur University,Manipur,Imphal
North Eastern Hill University,Meghalaya,Shillong
Mizoram University,Mizoram,Aizawl
Nagaland University,Nagaland,Kohima
Central University of Orissa,Orissa,Koraput
Pondicherry University,Puducherry,Pondicherry
Central University of Punjab,Punjab,Bathinda
Central University of Rajasthan,Rajasthan,Jaipur
Sikkim University,Sikkim,Gangtok
Central University of Tamil Nadu,Tamil Nadu,Tiruvarur
Indian Maritime University,Tamil Nadu,Chennai
Tripura University,Tripura,Agartala
Aligarh Muslim University,Uttar Pradesh,Aligarh
Allahabad University,Uttar Pradesh,Allahabad
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow
Banaras Hindu University,Uttar Pradesh,Varanasi
Hemwati Nandan Bahuguna Garhwal University,Uttarakhand,Srinagar
Visva-Bharati University,West Bengal,Santiniketan
